"","LYLTY_CARD_NBR","V1"
"1",1002,"150"
"2",1010,"170"
"3",1018,"150,165,70"
"4",1020,"150,330,180"
"5",1060,"165,270,170"
"6",1113,"170"
"7",1120,"170"
"8",1141,"110,110"
"9",1159,"134,380,330,210"
"10",1161,"134"
"11",1163,"175,175"
"12",1164,"110,150"
"13",1177,"134"
"14",1179,"175,170,170"
"15",1191,"330"
"16",1193,"250"
"17",1210,"150"
"18",1246,"110"
"19",1267,"134"
"20",1273,"134"
"21",1285,"380"
"22",1286,"220,165"
"23",1291,"200,175,90,160"
"24",1297,"150"
"25",1303,"175"
"26",1308,"175"
"27",1338,"150"
"28",1346,"170,175,150"
"29",1353,"175,110"
"30",1359,"165"
"31",1360,"330,110,150"
"32",1383,"175,134"
"33",1394,"175"
"34",1397,"90"
"35",1402,"170,150,150"
"36",1409,"250,180"
"37",1415,"175"
"38",1417,"150,165"
"39",1423,"110,150,150"
"40",1425,"150"
"41",1434,"160,170"
"42",1444,"175,150,175"
"43",1450,"134"
"44",1455,"165,175,134"
"45",1465,"165"
"46",1482,"170,110"
"47",1490,"150,380"
"48",2026,"134,175,134"
"49",2032,"380"
"50",2038,"150"
"51",2052,"330"
"52",2060,"330,380,160"
"53",2084,"150,210,150,160"
"54",2100,"150"
"55",2105,"170"
"56",2121,"110"
"57",2129,"175"
"58",2131,"150"
"59",2161,"150"
"60",2164,"150"
"61",2170,"175"
"62",2176,"165,170"
"63",2181,"150,110,170,150"
"64",2184,"380,200"
"65",2188,"175"
"66",2190,"330,165"
"67",2210,"150,150"
"68",2224,"150"
"69",2237,"165,220,110"
"70",2250,"160,175,380,200"
"71",2254,"380"
"72",2273,"175,210"
"73",2277,"135"
"74",2285,"175"
"75",2288,"134,175"
"76",2315,"175"
"77",2327,"330"
"78",2332,"270"
"79",2349,"150"
"80",2369,"380"
"81",2400,"380"
"82",2425,"150,175"
"83",2447,"175,134"
"84",2457,"170"
"85",2494,"150"
"86",3006,"270,175"
"87",3014,"175,330,170,134,134,380,270"
"88",3026,"134,150"
"89",3031,"380,175,175,380,175,380"
"90",3032,"110,380,170"
"91",3066,"175,175,150,134,175"
"92",3073,"110,170,165,175"
"93",3075,"330"
"94",3083,"210"
"95",3093,"150,110,110,110,175,175"
"96",3110,"170,134,134,175,175"
"97",3113,"170,170"
"98",3116,"150,150,380"
"99",3118,"134,134,110"
"100",3120,"110,175,134,150,110"
"101",3131,"150,330,170,150"
"102",3146,"150,150,270,175"
"103",3168,"110,135"
"104",3170,"175,175,150,175,135"
"105",3182,"175,150,150,175,175"
"106",3207,"330"
"107",3231,"270,330"
"108",3238,"150,110,110"
"109",3250,"270,175,134,110"
"110",3251,"175"
"111",3252,"270,110"
"112",3255,"210,110,170"
"113",3263,"175,150"
"114",3267,"175,380,175,330,175"
"115",3278,"150,134"
"116",3305,"170"
"117",3310,"330,330"
"118",3316,"150,175,150"
"119",3329,"330"
"120",3331,"330,175"
"121",3336,"175"
"122",3337,"270,330,330"
"123",3338,"175,170,110,134,175"
"124",3339,"175,150,175,134,270,110,150,134"
"125",3341,"170,110,330,175,134,134"
"126",3354,"380,134,170"
"127",3359,"165,175,110,110"
"128",4000,"110,150"
"129",4001,"270,170,135,175,110,134,150"
"130",4002,"150,134"
"131",4009,"175,175,150"
"132",4012,"330,175,134"
"133",4020,"175"
"134",4023,"175,110,175"
"135",4031,"170,110,175,150,330"
"136",4040,"270,330"
"137",4045,"150"
"138",4058,"330,175"
"139",4081,"134,175,110,150,134,175,175"
"140",4082,"175"
"141",4083,"150,134,175"
"142",4097,"175,175,150"
"143",4105,"110,210"
"144",4110,"270,330,134,110,150,110,175"
"145",4118,"150,165,134,270,330,380"
"146",4139,"175,150,250,175,175,175,270"
"147",4165,"175"
"148",4172,"175,380,165"
"149",4181,"134"
"150",4182,"380"
"151",4209,"134,134,150,150,175,150,175"
"152",4246,"150,170,210,330,135"
"153",4251,"134,175,134"
"154",4261,"134,175,134"
"155",4278,"170,210,134"
"156",4301,"380,150,175,134,134,175"
"157",4307,"380,150"
"158",4313,"110,134"
"159",4315,"134,165,134"
"160",4320,"330,110,150"
"161",4344,"175"
"162",4345,"330,150,165,134,110"
"163",4353,"175,175,330"
"164",4366,"330,170,380"
"165",4367,"150"
"166",5002,"175,330,175,175,110,134,175,150,165"
"167",5014,"200,175"
"168",5057,"134,150,160,170,270"
"169",5067,"175,150,175"
"170",5129,"330,210,165,134,150,175"
"171",5140,"150,175,175,150,175"
"172",5167,"210"
"173",5174,"190,170"
"174",5182,"210,165,175,150,150,150,134"
"175",5197,"110,150,175,170,175"
"176",5199,"150"
"177",5210,"165,150,150,150,175,175,270,175"
"178",5232,"170,150,175,110,380,170"
"179",6017,"210,110"
"180",6026,"134,175,175"
"181",6032,"330"
"182",6042,"110,170,175"
"183",6055,"175"
"184",6061,"110,134"
"185",6065,"134,150"
"186",6078,"175"
"187",6079,"150,175,160"
"188",6096,"380"
"189",6101,"134,165"
"190",6103,"150"
"191",6105,"175,175"
"192",6106,"380,150"
"193",6112,"175"
"194",6113,"175"
"195",6137,"330"
"196",6148,"250"
"197",6177,"110"
"198",6178,"190,150"
"199",6193,"150,170"
"200",6198,"110,175"
"201",6214,"175"
"202",6217,"134,175"
"203",6220,"175,175,210,150"
"204",6255,"270"
"205",6263,"175,175"
"206",6267,"190,175"
"207",6273,"175"
"208",6276,"134"
"209",6280,"175"
"210",6306,"175"
"211",6309,"134"
"212",6323,"150,170"
"213",6334,"210,134"
"214",6340,"380"
"215",6344,"134"
"216",6348,"175"
"217",6361,"134"
"218",6375,"165"
"219",6381,"150"
"220",6392,"150"
"221",6434,"175"
"222",6441,"175"
"223",6459,"210,134"
"224",6494,"135"
"225",7023,"110,330"
"226",7040,"380"
"227",7055,"330"
"228",7062,"150,175"
"229",7087,"110,110,150,330,210,175"
"230",7089,"210,150"
"231",7094,"134,380"
"232",7114,"175,380,175"
"233",7127,"175,134,175"
"234",7134,"330,330,110,175,175,170"
"235",7162,"175,175,270,134"
"236",7168,"134,150"
"237",7169,"150,150"
"238",7176,"110,330,330"
"239",7185,"175,175"
"240",7194,"150"
"241",7198,"175,110,175,134,134"
"242",7200,"110,110,330,150,175"
"243",7202,"330,250"
"244",7232,"150,175,170,110,170"
"245",7238,"134,270,210,134,175,165"
"246",7239,"110,110"
"247",7248,"170,175,170"
"248",7251,"150,135,175,170"
"249",7262,"110"
"250",7266,"330,110,110"
"251",7271,"380,210,210"
"252",7274,"330,175"
"253",7275,"165,175,110,175"
"254",7286,"150"
"255",7291,"150,175,110,134"
"256",7308,"110,134,175,134"
"257",7313,"134,150"
"258",7357,"330,150,330"
"259",7360,"150,150"
"260",7363,"110"
"261",8006,"270"
"262",8016,"175"
"263",8022,"175,150,330"
"264",8024,"134"
"265",8026,"175,170,150"
"266",8031,"330"
"267",8036,"175"
"268",8045,"330"
"269",8049,"134"
"270",8051,"170"
"271",8053,"150,110"
"272",8055,"110"
"273",8072,"165,150"
"274",8076,"165"
"275",8078,"134,165"
"276",8091,"110"
"277",8102,"134"
"278",8114,"134,110,380"
"279",8117,"175,150"
"280",8127,"134"
"281",8130,"110,170"
"282",8136,"175,175"
"283",8138,"110"
"284",8144,"134"
"285",8146,"150,175"
"286",8156,"150"
"287",8174,"270"
"288",8186,"330,330"
"289",8193,"150"
"290",8196,"110"
"291",8202,"150,380"
"292",8205,"165"
"293",8211,"134,134,165"
"294",8212,"250"
"295",8220,"110"
"296",8226,"150"
"297",8228,"175"
"298",8237,"210,210"
"299",8243,"175,134,270"
"300",8247,"134"
"301",8252,"150,150,175"
"302",8256,"150"
"303",8259,"175"
"304",8268,"270,175,270"
"305",8269,"110,134"
"306",8273,"134"
"307",8283,"150"
"308",8284,"250"
"309",8305,"150,110,270"
"310",8308,"270,134"
"311",8311,"175,210"
"312",8314,"175"
"313",8328,"134,170,110"
"314",8329,"150"
