"","LYLTY_CARD_NBR","V1"
"1",1002,"RRD"
"2",1010,"Doritos"
"3",1018,"Kettle,RRD,Infuzions"
"4",1020,"Smiths,Smiths,GrnWves"
"5",1060,"Tyrrells,Twisties,Doritos"
"6",1113,"Doritos"
"7",1120,"Doritos"
"8",1141,"Cobs,Infuzions"
"9",1159,"Pringles,Smiths,Doritos,GrnWves"
"10",1161,"Pringles"
"11",1163,"Kettle,Natural"
"12",1164,"Infuzions,RRD"
"13",1177,"Pringles"
"14",1179,"Kettle,Smiths,Doritos"
"15",1191,"Cheezels"
"16",1193,"Twisties"
"17",1210,"RRD"
"18",1246,"Infuzions"
"19",1267,"Pringles"
"20",1273,"Pringles"
"21",1285,"Smiths"
"22",1286,"Burger,RRD"
"23",1291,"Woolworths,Smiths,Sunbites,Woolworths"
"24",1297,"Doritos"
"25",1303,"Thins"
"26",1308,"Kettle"
"27",1338,"RRD"
"28",1346,"Doritos,Natural,Kettle"
"29",1353,"Kettle,Infuzions"
"30",1359,"RRD"
"31",1360,"Smiths,Infuzions,Kettle"
"32",1383,"Kettle,Pringles"
"33",1394,"Tostitos"
"34",1397,"Sunbites"
"35",1402,"Doritos,RRD,Kettle"
"36",1409,"Twisties,GrnWves"
"37",1415,"Thins"
"38",1417,"RRD,Tyrrells"
"39",1423,"Cobs,RRD,Kettle"
"40",1425,"Kettle"
"41",1434,"Woolworths,Doritos"
"42",1444,"Smiths,Smiths,Woolworths"
"43",1450,"Pringles"
"44",1455,"Tyrrells,Kettle,Pringles"
"45",1465,"RRD"
"46",1482,"Smiths,Cobs"
"47",1490,"Doritos,Smiths"
"48",2026,"Pringles,Tostitos,Pringles"
"49",2032,"Doritos"
"50",2038,"RRD"
"51",2052,"Smiths"
"52",2060,"Smiths,Doritos,Woolworths"
"53",2084,"Kettle,GrnWves,Kettle,Woolworths"
"54",2100,"Doritos"
"55",2105,"Smiths"
"56",2121,"Cobs"
"57",2129,"Tostitos"
"58",2131,"Smiths"
"59",2161,"Kettle"
"60",2164,"Kettle"
"61",2170,"Kettle"
"62",2176,"RRD,Smiths"
"63",2181,"Smith,Infuzions,Smiths,Doritos"
"64",2184,"Smiths,Woolworths"
"65",2188,"Kettle"
"66",2190,"Doritos,Tyrrells"
